Test Name:,Pendulum Test 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Rate:,74,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Static/Acceleration/X,Static/Acceleration/Y,Static/Acceleration/Z,Static/Angular Velocity/X,Static/Angular Velocity/Y,Static/Angular Velocity/Z,Static/Magnetic Field/X,Static/Magnetic Field/Y,Static/Magnetic Field/Z,Static/Orientation/Scalar,Static/Orientation/X,Static/Orientation/Y,Static/Orientation/Z,Static/Temperature/Scalar,Static/Pressure/Scalar,Upper/Acceleration/X,Upper/Acceleration/Y,Upper/Acceleration/Z,Upper/Angular Velocity/X,Upper/Angular Velocity/Y,Upper/Angular Velocity/Z,Upper/Magnetic Field/X,Upper/Magnetic Field/Y,Upper/Magnetic Field/Z,Upper/Orientation/Scalar,Upper/Orientation/X,Upper/Orientation/Y,Upper/Orientation/Z,Upper/Temperature/Scalar,Upper/Pressure/Scalar,Middle/Acceleration/X,Middle/Acceleration/Y,Middle/Acceleration/Z,Middle/Angular Velocity/X,Middle/Angular Velocity/Y,Middle/Angular Velocity/Z,Middle/Magnetic Field/X,Middle/Magnetic Field/Y,Middle/Magnetic Field/Z,Middle/Orientation/Scalar,Middle/Orientation/X,Middle/Orientation/Y,Middle/Orientation/Z,Middle/Temperature/Scalar,Middle/Pressure/Scalar,Lower/Acceleration/X,Lower/Acceleration/Y,Lower/Acceleration/Z,Lower/Angular Velocity/X,Lower/Angular Velocity/Y,Lower/Angular Velocity/Z,Lower/Magnetic Field/X,Lower/Magnetic Field/Y,Lower/Magnetic Field/Z,Lower/Orientation/Scalar,Lower/Orientation/X,Lower/Orientation/Y,Lower/Orientation/Z,Lower/Temperature/Scalar,Loewr/Pressure/Scalar
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004913,-0.430023,0.902803,0.001755,1,1,1,1,1,1,1,1,1,1,1,0.546841,-0.070326,-0.462462,0.694369,1,1,1,1,1,1,1,1,1,1,1,-0.00619,0.354672,0.01959,0.934765,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004837,-0.432328,0.901702,0.001659,1,1,1,1,1,1,1,1,1,1,1,0.549162,-0.067232,-0.460388,0.694222,1,1,1,1,1,1,1,1,1,1,1,-0.006066,0.358736,0.018968,0.933227,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004665,-0.436574,0.899655,0.001573,1,1,1,1,1,1,1,1,1,1,1,0.550886,-0.064877,-0.457931,0.694704,1,1,1,1,1,1,1,1,1,1,1,-0.00594,0.362293,0.019423,0.931843,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004509,-0.440434,0.897773,0.001527,1,1,1,1,1,1,1,1,1,1,1,0.55151,-0.062579,-0.455353,0.696114,1,1,1,1,1,1,1,1,1,1,1,-0.006741,0.365436,0.020901,0.930578,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004391,-0.442879,0.896569,0.001510,1,1,1,1,1,1,1,1,1,1,1,0.553117,-0.060354,-0.453983,0.69593,1,1,1,1,1,1,1,1,1,1,1,-0.006699,0.368251,0.020347,0.929479,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004181,-0.447729,0.894159,0.001476,1,1,1,1,1,1,1,1,1,1,1,0.555613,-0.059068,-0.453298,0.694497,1,1,1,1,1,1,1,1,1,1,1,-0.005281,0.37044,0.018638,0.928654,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.004040,-0.450821,0.892604,0.001485,1,1,1,1,1,1,1,1,1,1,1,0.555359,-0.055773,-0.450903,0.696529,1,1,1,1,1,1,1,1,1,1,1,-0.007531,0.373756,0.020316,0.927274,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003884,-0.453323,0.891337,0.001512,1,1,1,1,1,1,1,1,1,1,1,0.557882,-0.053283,-0.450424,0.695016,1,1,1,1,1,1,1,1,1,1,1,-0.0069,0.376601,0.017995,0.926175,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003627,-0.457558,0.889171,0.001520,1,1,1,1,1,1,1,1,1,1,1,0.565086,-0.048807,-0.456342,0.6856,1,1,1,1,1,1,1,1,1,1,1,-0.003833,0.378993,0.004585,0.92538,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003510,-0.459461,0.888190,0.001565,1,1,1,1,1,1,1,1,1,1,1,0.565053,-0.048556,-0.454369,0.686954,1,1,1,1,1,1,1,1,1,1,1,-0.003892,0.380233,0.006579,0.924859,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003342,-0.462011,0.886867,0.001587,1,1,1,1,1,1,1,1,1,1,1,0.566192,-0.046083,-0.452655,0.687318,1,1,1,1,1,1,1,1,1,1,1,-0.004384,0.38319,0.006641,0.923635,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.003123,-0.464970,0.885320,0.001578,1,1,1,1,1,1,1,1,1,1,1,0.567003,-0.047775,-0.453089,0.686248,1,1,1,1,1,1,1,1,1,1,1,-0.00256,0.382195,0.006042,0.924058,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.002990,-0.466136,0.884706,0.001572,1,1,1,1,1,1,1,1,1,1,1,0.565605,-0.048504,-0.453129,0.687322,1,1,1,1,1,1,1,1,1,1,1,-0.00334,0.381169,0.007386,0.92447,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.002804,-0.468550,0.883431,0.001530,1,1,1,1,1,1,1,1,1,1,1,0.570852,-0.041092,-0.449072,0.686129,1,1,1,1,1,1,1,1,1,1,1,-0.003215,0.390126,0.004894,0.920743,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.002669,-0.470313,0.882495,0.001479,1,1,1,1,1,1,1,1,1,1,1,0.573146,-0.038228,-0.447182,0.685617,1,1,1,1,1,1,1,1,1,1,1,-0.002888,0.393855,0.004015,0.919159,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.002543,-0.471497,0.881863,0.001424,1,1,1,1,1,1,1,1,1,1,1,0.575192,-0.036106,-0.445329,0.685224,1,1,1,1,1,1,1,1,1,1,1,-0.002291,0.396996,0.003526,0.917811,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.002314,-0.474377,0.880318,0.001302,1,1,1,1,1,1,1,1,1,1,1,0.577003,-0.033143,-0.442859,0.685452,1,1,1,1,1,1,1,1,1,1,1,-0.002407,0.400906,0.003587,0.916109,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.002229,-0.477017,0.878891,0.001064,1,1,1,1,1,1,1,1,1,1,1,0.578372,-0.030157,-0.440913,0.685691,1,1,1,1,1,1,1,1,1,1,1,-0.002971,0.404368,0.003459,0.914585,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.002157,-0.478660,0.877997,0.000864,1,1,1,1,1,1,1,1,1,1,1,0.580636,-0.028306,-0.439632,0.684679,1,1,1,1,1,1,1,1,1,1,1,-0.002023,0.407092,0.002255,0.913382,1,1
,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0.001979,-0.480836,0.876808,0.000646,1,1,1,1,1,1,1,1,1,1,1,0.582461,-0.025447,-0.437815,0.684404,1,1,1,1,1,1,1,1,1,1,1,-0.002085,0.410565,0.001626,0.911827,1,1
