IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,OpTr_Q0, OpTr_Q1, OpTr_Q2, OpTr_Q3
-0.04106,0.63204,-0.519285,-0.573752,0.593066,-0.192104,-0.761482,-0.177521
-0.034556,0.626613,-0.530545,-0.569819,0.585437,-0.18436,-0.768731,-0.179798
-0.030928,0.624083,-0.53674,-0.566995,0.578626,-0.176808,-0.775295,-0.181244
-0.023896,0.619525,-0.548228,-0.561314,0.593837,-0.159644,-0.770626,-0.167354
-0.017275,0.615203,-0.558605,-0.556054,0.575783,-0.158035,-0.782407,-0.177026
-0.012805,0.612475,-0.565075,-0.552638,0.556364,-0.156657,-0.79418,-0.187607
-0.004299,0.606637,-0.577736,-0.546078,0.55108,-0.147502,-0.799499,-0.188029
0.00089,0.602921,-0.585478,-0.541951,0.547898,-0.137074,-0.802802,-0.191121
0.005701,0.599423,-0.592664,-0.537977,0.54213,-0.13037,-0.807144,-0.193951
0.013465,0.593723,-0.603986,-0.531528,0.536458,-0.121186,-0.81218,-0.194656
0.017369,0.591138,-0.609307,-0.528214,0.530146,-0.112987,-0.817036,-0.19655
0.023399,0.587198,-0.618049,-0.522184,0.525782,-0.105736,-0.821404,-0.194083
0.029622,0.582908,-0.627516,-0.515338,0.520776,-0.0995,-0.825074,-0.195308
0.032432,0.581298,-0.632354,-0.511055,0.514797,-0.093555,-0.828952,-0.197664
0.038552,0.577906,-0.641886,-0.502523,0.509023,-0.08925,-0.832795,-0.198449
0.04315,0.575518,-0.648404,-0.496487,0.49912,-0.086768,-0.837895,-0.203182
0.047228,0.573872,-0.653148,-0.491779,0.504427,-0.072402,-0.836855,-0.199965
0.055172,0.570218,-0.662563,-0.482521,0.500543,-0.06445,-0.839944,-0.19949
0.061405,0.567704,-0.669385,-0.475262,0.480813,-0.071613,-0.851168,-0.198
0.064563,0.566689,-0.672814,-0.471195,0.477125,-0.072748,-0.856278,-0.183977
0.067965,0.56509,-0.677264,-0.466238,0.476969,-0.051867,-0.854893,-0.197406
0.073098,0.562145,-0.684029,-0.459089,0.473012,-0.037479,-0.856016,-0.205164
0.076005,0.559858,-0.688338,-0.454953,0.469492,-0.031666,-0.858222,-0.20501
0.080157,0.556059,-0.694824,-0.449,0.46664,-0.022485,-0.859552,-0.207149
0.085535,0.551461,-0.702577,-0.441554,0.464368,-0.012213,-0.860172,-0.210516
0.088714,0.548846,-0.706457,-0.437978,0.461482,-0.002878,-0.860971,-0.213906
0.094758,0.543944,-0.713538,-0.431298,0.463965,0.005917,-0.860056,-0.212143
0.099757,0.54012,-0.719228,-0.425486,0.456651,0.014368,-0.862902,-0.216015
0.102442,0.539004,-0.721931,-0.421668,0.470332,0.025249,-0.857826,-0.205632
0.107467,0.536648,-0.727519,-0.413745,0.470398,0.037644,-0.857956,-0.203027
0.109588,0.53604,-0.730551,-0.408602,0.481211,0.053208,-0.853964,-0.190658
0.110347,0.536998,-0.733306,-0.402155,0.462725,0.047616,-0.860172,-0.209098
0.112249,0.53764,-0.737785,-0.392459,0.460503,0.05374,-0.860581,-0.210827
0.112838,0.53866,-0.739947,-0.386781,0.458848,0.067619,-0.860028,-0.21269
0.113957,0.540728,-0.743559,-0.376506,0.454338,0.092556,-0.857843,-0.221621
0.11552,0.542638,-0.746988,-0.366357,0.449279,0.105354,-0.859969,-0.21795
0.117175,0.544151,-0.748673,-0.360094,0.46186,0.100517,-0.857187,-0.204481
0.120381,0.546588,-0.752786,-0.346514,0.464023,0.106832,-0.856408,-0.199587
0.121898,0.548772,-0.757432,-0.332107,0.466022,0.116398,-0.854711,-0.196833
0.12137,0.550334,-0.760347,-0.32293,0.457941,0.126411,-0.857048,-0.199447
0.120473,0.552382,-0.762536,-0.314497,0.444881,0.13027,-0.862862,-0.201442
0.118911,0.555641,-0.766407,-0.299588,0.468104,0.141964,-0.84948,-0.197757
0.117704,0.557422,-0.769074,-0.28976,0.464747,0.145554,-0.854526,-0.18058
0.116824,0.558504,-0.77139,-0.281767,0.475623,0.153435,-0.843621,-0.196325
0.115769,0.560674,-0.774843,-0.268087,0.460824,0.157111,-0.850903,-0.197287
0.115718,0.56231,-0.775891,-0.261573,0.468075,0.163334,-0.846113,-0.195756
0.115772,0.565754,-0.776231,-0.252968,0.47351,0.169892,-0.842102,-0.194396
0.115026,0.570059,-0.776616,-0.242235,0.478729,0.176654,-0.837749,-0.194392
0.11322,0.573421,-0.7757,-0.23805,0.50717,0.185042,-0.82112,-0.185204
0.109687,0.580018,-0.773759,-0.229898,0.496974,0.190723,-0.825759,-0.186448
0.106878,0.585285,-0.772178,-0.223089,0.487066,0.19754,-0.829566,-0.188588
0.10456,0.589055,-0.770883,-0.218702,0.492481,0.204284,-0.825542,-0.184959
0.100668,0.59544,-0.768944,-0.209884,0.497911,0.214834,-0.819191,-0.1867
0.098443,0.598533,-0.768235,-0.204675,0.500351,0.222036,-0.816525,-0.1834
0.095569,0.601833,-0.767733,-0.198139,0.505358,0.23112,-0.810827,-0.183731
0.09161,0.606923,-0.76655,-0.188843,0.507004,0.238714,-0.808377,-0.180248
0.089883,0.609706,-0.765758,-0.183856,0.510077,0.247514,-0.802905,-0.184125
0.086749,0.615114,-0.764077,-0.174081,0.511508,0.254448,-0.799629,-0.184959
0.08276,0.621642,-0.762007,-0.16145,0.513088,0.26068,-0.796771,-0.184234
0.080294,0.62551,-0.760873,-0.152881,0.513907,0.267446,-0.793969,-0.184352
