IMU_Q0,IMU_Q1,IMU_Q2,IMU_Q3,Opt_Q0,Opt_Q1,Opt_Q2,Opt_Q3
-0.595105,-0.355955,0.304413,0.653054,0.783707,0.303032,-0.459518,-0.287782
-0.596342,-0.353266,0.302242,0.654392,0.78658,0.300361,-0.455234,-0.289545
-0.597952,-0.349572,0.299417,0.656203,0.789549,0.297331,-0.450873,-0.29141
-0.598981,-0.347143,0.297802,0.657287,0.792317,0.294472,-0.44681,-0.293056
-0.600905,-0.34252,0.294881,0.659271,0.795017,0.292708,-0.441877,-0.294984
-0.602631,-0.338238,0.292262,0.66107,0.798517,0.287561,-0.437365,-0.297306
-0.603837,-0.335092,0.290559,0.662321,0.795208,0.311185,-0.42825,-0.295651
-0.606224,-0.328947,0.286958,0.664787,0.798491,0.307862,-0.423139,-0.297634
-0.607692,-0.325106,0.284684,0.666312,0.801316,0.305033,-0.418519,-0.299482
-0.609198,-0.321064,0.282358,0.667884,0.804427,0.302603,-0.412655,-0.301737
-0.612009,-0.313543,0.277898,0.670752,0.807339,0.299387,-0.407766,-0.303805
-0.614272,-0.307683,0.274184,0.672922,0.810446,0.295777,-0.40277,-0.305728
-0.615678,-0.304177,0.271845,0.674179,0.813302,0.294743,-0.395997,-0.307982
-0.617605,-0.299235,0.268463,0.675981,0.814624,0.300649,-0.387122,-0.310057
-0.620145,-0.292443,0.263799,0.678459,0.818137,0.295524,-0.382076,-0.311987
-0.621401,-0.288747,0.261478,0.679791,0.821403,0.292279,-0.375501,-0.314434
-0.623349,-0.282719,0.258089,0.681833,0.824554,0.288553,-0.369595,-0.316618
-0.625548,-0.275987,0.254347,0.68398,0.828202,0.285246,-0.362856,-0.317886
-0.626849,-0.272298,0.252502,0.68495,0.831197,0.280232,-0.357143,-0.320983
-0.629521,-0.264759,0.248381,0.686959,0.834454,0.275408,-0.35139,-0.323051
-0.6316,-0.258847,0.244887,0.688556,0.837789,0.270224,-0.345623,-0.325012
-0.633183,-0.254044,0.241744,0.69,0.841401,0.264283,-0.339299,-0.327225
-0.635814,-0.245424,0.236422,0.692541,0.844722,0.25817,-0.333583,-0.329416
-0.637247,-0.24052,0.233751,0.693849,0.848482,0.251288,-0.327108,-0.331562
-0.639206,-0.233701,0.230666,0.695408,0.852178,0.244073,-0.320639,-0.333784
-0.64176,-0.224639,0.226502,0.697408,0.855315,0.236439,-0.315764,-0.335896
-0.643197,-0.219511,0.224589,0.698335,0.860151,0.223602,-0.309898,-0.337796
-0.645959,-0.209562,0.220963,0.699997,0.871074,0.178233,-0.311264,-0.335526
-0.648314,-0.200701,0.217826,0.701399,0.871209,0.186996,-0.301746,-0.339081
-0.649903,-0.193996,0.216209,0.702315,0.877051,0.166843,-0.296866,-0.338845
-0.653126,-0.17965,0.212956,0.704132,0.884531,0.135732,-0.292742,-0.336873
-0.656103,-0.165057,0.211279,0.705441,0.889293,0.119737,-0.285698,-0.336448
-0.65804,-0.155277,0.211276,0.705858,0.888484,0.137668,-0.273426,-0.341881
-0.660481,-0.144121,0.211507,0.705874,0.894034,0.118522,-0.266293,-0.340211
-0.664467,-0.124839,0.212379,0.705545,0.902111,0.077865,-0.261911,-0.333969
-0.667041,-0.111742,0.213482,0.704979,0.904982,0.066774,-0.257558,-0.331983
-0.670688,-0.095688,0.214656,0.703523,0.914352,0.088131,-0.223817,-0.325727
-0.676069,-0.072072,0.215634,0.700884,0.916677,0.078171,-0.226996,-0.319476
-0.679246,-0.05974,0.216258,0.698777,0.919618,0.066707,-0.223641,-0.315969
-0.684405,-0.039142,0.217825,0.694702,0.92244,0.060594,-0.219191,-0.31207
-0.689281,-0.017985,0.219494,0.690211,0.917761,0.029703,-0.235326,-0.318519
-0.691803,-0.009062,0.220824,0.687432,0.918381,0.017469,-0.236493,-0.31677
-0.696575,0.008473,0.223356,0.68178,0.919614,0.007375,-0.235997,-0.313945
-0.699669,0.019874,0.225223,0.677748,0.9201,-0.004611,-0.238,-0.311047
-0.701638,0.026074,0.227288,0.674807,0.926487,0.000399,-0.226128,-0.300812
-0.704987,0.038814,0.230734,0.669514,0.929951,-0.003031,-0.221294,-0.293617
-0.706361,0.044894,0.2329,0.66693,0.930387,-0.015717,-0.224557,-0.289322
-0.707968,0.053311,0.237011,0.663148,0.930883,-0.02816,-0.228219,-0.283867
-0.710487,0.066995,0.243814,0.656715,0.931486,-0.039076,-0.231577,-0.27781
-0.711975,0.076189,0.2499,0.651795,0.931746,-0.050717,-0.236223,-0.271065
-0.712893,0.081663,0.254143,0.64848,0.931524,-0.062814,-0.241854,-0.264242
-0.714489,0.090584,0.261608,0.642543,0.931014,-0.07466,-0.247706,-0.25745
-0.716231,0.100461,0.270379,0.635466,0.929817,-0.087291,-0.254399,-0.251201
-0.717468,0.105327,0.275734,0.630965,0.92775,-0.100726,-0.262041,-0.245903
-0.719697,0.114197,0.286381,0.622078,0.925268,-0.114216,-0.269314,-0.241461
-0.721342,0.121578,0.29585,0.614295,0.922686,-0.126625,-0.276242,-0.237291
-0.722093,0.125937,0.303556,0.608749,0.920856,-0.141244,-0.278404,-0.233591
