Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R3	30-5-2023	11:50:42:011	// Source file name and timestamp
100.000	// Sampling rate
34.321	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
119	0.550609	-0.706898	0.154713	0.416160	0.122979	0.523405	0.674551	-0.505870	-0.425047	0.198691	-0.867201	0.166794	
120	0.542055	-0.710115	0.150417	0.423424	0.125902	0.523752	0.664856	-0.517493	-0.418911	0.200613	-0.866935	0.180806	
121	0.537648	-0.713017	0.146481	0.425540	0.128686	0.522718	0.656316	-0.528636	-0.412512	0.203587	-0.866615	0.193298	
122	0.531355	-0.719003	0.138822	0.425939	0.134820	0.524521	0.647172	-0.536535	-0.410863	0.205297	-0.863948	0.206493	
123	0.523373	-0.726137	0.130087	0.426478	0.141864	0.524473	0.639718	-0.543658	-0.409641	0.209051	-0.860816	0.217918	
124	0.518815	-0.731630	0.124849	0.424218	0.150929	0.524553	0.634281	-0.547496	-0.411776	0.213470	-0.856354	0.227000	
125	0.508479	-0.742679	0.115172	0.420253	0.163744	0.526875	0.628620	-0.548112	-0.418697	0.217379	-0.849410	0.236520	
126	0.494968	-0.754911	0.105779	0.417044	0.175432	0.527035	0.624662	-0.548868	-0.424254	0.222700	-0.843161	0.243913	
127	0.485120	-0.762456	0.101444	0.415968	0.191046	0.529855	0.620341	-0.545832	-0.435118	0.227089	-0.834118	0.251694	
128	0.477962	-0.766488	0.099044	0.417419	0.206632	0.532825	0.615372	-0.542880	-0.445780	0.231146	-0.824792	0.259943	
129	0.465466	-0.772090	0.095867	0.421933	0.223394	0.535649	0.610879	-0.538518	-0.457814	0.235636	-0.814462	0.267457	
130	0.455578	-0.775439	0.094366	0.426894	0.236505	0.535740	0.607482	-0.536669	-0.465442	0.241077	-0.806517	0.273453	
131	0.448700	-0.775331	0.095812	0.433994	0.251655	0.538760	0.603298	-0.531451	-0.477043	0.244328	-0.796556	0.279700	
132	0.434917	-0.776005	0.098028	0.446154	0.266907	0.541090	0.599569	-0.525833	-0.488637	0.248096	-0.786339	0.285224	
133	0.426130	-0.775856	0.100435	0.454284	0.280288	0.542570	0.596846	-0.520414	-0.498880	0.251785	-0.777212	0.289247	
134	0.415557	-0.774523	0.105093	0.465169	0.294869	0.543578	0.593893	-0.514652	-0.509644	0.256238	-0.767119	0.293487	
135	0.400103	-0.772801	0.110844	0.480009	0.306647	0.544141	0.591107	-0.510362	-0.517904	0.259966	-0.758829	0.297276	
136	0.392831	-0.771286	0.114151	0.487618	0.320624	0.545544	0.588125	-0.503678	-0.528872	0.263477	-0.748566	0.300871	
137	0.380811	-0.768043	0.119860	0.500726	0.333354	0.545128	0.585798	-0.498549	-0.537658	0.268227	-0.739342	0.303893	
138	0.369003	-0.764671	0.125164	0.513273	0.345327	0.545218	0.583130	-0.493401	-0.546149	0.272090	-0.730376	0.306985	
139	0.363779	-0.762393	0.128186	0.519606	0.357564	0.544981	0.580826	-0.487633	-0.554992	0.276220	-0.721051	0.309470	
140	0.352658	-0.757786	0.134508	0.532259	0.370047	0.545702	0.577799	-0.481064	-0.564586	0.279321	-0.711109	0.312324	
141	0.345091	-0.754683	0.138571	0.540521	0.379605	0.546511	0.574617	-0.476488	-0.571583	0.281364	-0.703323	0.315380	
142	0.338534	-0.751968	0.141898	0.547544	0.391398	0.546150	0.572219	-0.470205	-0.580249	0.285091	-0.693761	0.317380	
143	0.325551	-0.746288	0.148462	0.561275	0.402585	0.544527	0.570951	-0.464146	-0.588145	0.289776	-0.684752	0.318168	
144	0.315457	-0.741211	0.153619	0.572271	0.414097	0.543601	0.569434	-0.456910	-0.597013	0.293686	-0.675069	0.318757	
145	0.309968	-0.737954	0.156498	0.578664	0.425444	0.542349	0.568495	-0.449075	-0.606040	0.297711	-0.665332	0.318460	
146	0.303300	-0.733328	0.160072	0.587041	0.436921	0.540879	0.567527	-0.440980	-0.615115	0.301837	-0.655294	0.317988	
147	0.293998	-0.726375	0.165037	0.598921	0.448030	0.539322	0.566346	-0.433188	-0.623716	0.305835	-0.645400	0.317651	
148	0.289409	-0.722350	0.167482	0.605312	0.458453	0.538077	0.565423	-0.424959	-0.632338	0.309186	-0.635790	0.316741	
149	0.282643	-0.716127	0.170862	0.614883	0.469036	0.537448	0.563958	-0.416059	-0.641476	0.311789	-0.625644	0.316015	
150	0.274329	-0.708576	0.174954	0.626143	0.477800	0.535395	0.563691	-0.409038	-0.648376	0.315391	-0.617423	0.314525	
151	0.270362	-0.704332	0.177190	0.632000	0.485589	0.534805	0.562976	-0.401553	-0.655531	0.317185	-0.609594	0.313159	
152	0.262451	-0.695688	0.181781	0.643501	0.491516	0.534159	0.562510	-0.395814	-0.660907	0.318686	-0.603583	0.311975	
153	0.256010	-0.688507	0.185570	0.652672	0.500822	0.531609	0.563320	-0.386316	-0.669228	0.322418	-0.594214	0.308368	
154	0.252046	-0.683433	0.188384	0.658713	0.507418	0.529785	0.564555	-0.378329	-0.675853	0.324873	-0.587255	0.304652	
155	0.244447	-0.673859	0.193487	0.669868	0.515604	0.526830	0.565654	-0.369648	-0.683035	0.328628	-0.578784	0.300793	
156	0.240698	-0.668665	0.196207	0.675614	0.524836	0.521752	0.569056	-0.358465	-0.691478	0.334280	-0.569083	0.293701	
157	0.237551	-0.662803	0.199125	0.681624	0.533534	0.516677	0.571912	-0.348286	-0.698997	0.339777	-0.559817	0.287332	
158	0.232795	-0.654064	0.203256	0.690430	0.542942	0.511133	0.575674	-0.335493	-0.708048	0.345367	-0.549167	0.278937	
159	0.231240	-0.649299	0.205138	0.694879	0.553659	0.506258	0.578493	-0.320171	-0.718938	0.349992	-0.536267	0.270281	
160	0.228374	-0.639279	0.208690	0.704000	0.562000	0.501451	0.582533	-0.305547	-0.728574	0.353951	-0.525421	0.260446	
161	0.224649	-0.624843	0.213218	0.716688	0.570127	0.496090	0.586399	-0.291525	-0.737460	0.358282	-0.514674	0.250795	
162	0.222772	-0.613364	0.216172	0.726241	0.576228	0.492255	0.590154	-0.278145	-0.745675	0.360702	-0.505572	0.241369	
163	0.221614	-0.604631	0.218614	0.733155	0.581221	0.487946	0.594558	-0.265689	-0.752811	0.363375	-0.497622	0.231531	
164	0.219795	-0.588607	0.223230	0.745251	0.584258	0.484713	0.598682	-0.255490	-0.758363	0.364983	-0.491935	0.222875	
165	0.218372	-0.573926	0.227443	0.755773	0.586116	0.480729	0.603390	-0.247566	-0.762076	0.367445	-0.488050	0.214547	
166	0.218150	-0.564962	0.230479	0.761648	0.586511	0.478111	0.607806	-0.240803	-0.765105	0.368538	-0.485727	0.207032	
167	0.217785	-0.547574	0.236110	0.772648	0.586289	0.475277	0.612242	-0.235662	-0.766998	0.370015	-0.484488	0.200185	
