Martin	// User ID
30-5-2023	// Evaluation date
MP_H_R5	30-5-2023	11:55:06:943	// Source file name and timestamp
100.000	// Sampling rate
33.156	// Data capture period



Sample #	IMU_Q0	IMU_Q1	IMU_Q2	IMU_Q3	Clust_Q0	Clust_Q1	Clust_Q2	Clust_Q3	New_ax_Q0	New_ax_Q1	New_ax_Q2	New_ax_Q3	
117	0.351084	-0.541451	0.267256	0.715643	0.449245	0.508050	0.691420	-0.249004	-0.725018	0.307294	-0.604345	0.121190	
118	0.355241	-0.537377	0.267290	0.716649	0.448585	0.506142	0.694797	-0.244639	-0.726477	0.307817	-0.603422	0.115597	
119	0.361240	-0.531227	0.267433	0.718181	0.447250	0.504505	0.697929	-0.241531	-0.727089	0.308151	-0.603422	0.110756	
120	0.364226	-0.527649	0.267748	0.719192	0.445586	0.501911	0.701848	-0.238637	-0.727154	0.309277	-0.603776	0.105113	
121	0.368080	-0.522386	0.268603	0.720751	0.443446	0.500879	0.704520	-0.236914	-0.726902	0.309105	-0.604820	0.101296	
122	0.373027	-0.515769	0.269617	0.722592	0.440076	0.498776	0.708215	-0.236617	-0.725092	0.309817	-0.607343	0.096896	
123	0.375131	-0.512628	0.270220	0.723513	0.436065	0.497308	0.711312	-0.237839	-0.722432	0.310093	-0.610855	0.093757	
124	0.379312	-0.506992	0.271016	0.725005	0.431549	0.495879	0.714438	-0.239681	-0.719250	0.310295	-0.614941	0.090801	
125	0.383153	-0.502473	0.271378	0.725995	0.426665	0.494490	0.717155	-0.243156	-0.715069	0.310702	-0.619860	0.088958	
126	0.385988	-0.500959	0.270753	0.725773	0.420953	0.492871	0.719759	-0.248644	-0.709413	0.311471	-0.626078	0.088013	
127	0.391620	-0.497745	0.269606	0.725394	0.415474	0.491940	0.721773	-0.253811	-0.704203	0.311600	-0.631932	0.087552	
128	0.395243	-0.496570	0.268480	0.724651	0.409494	0.490741	0.723599	-0.260560	-0.697839	0.312114	-0.638657	0.087880	
129	0.399336	-0.497296	0.266342	0.722696	0.403265	0.490648	0.724643	-0.267458	-0.691609	0.311550	-0.645509	0.089057	
130	0.405138	-0.497920	0.263471	0.720085	0.396128	0.489104	0.726451	-0.275914	-0.683654	0.312236	-0.653490	0.089868	
131	0.408000	-0.499528	0.261448	0.718090	0.388396	0.488702	0.727521	-0.284662	-0.675600	0.311692	-0.661850	0.091468	
132	0.413068	-0.503149	0.257276	0.714160	0.381312	0.487290	0.729374	-0.291826	-0.668279	0.311870	-0.669151	0.091524	
133	0.419681	-0.508274	0.251283	0.708789	0.373921	0.486036	0.730691	-0.300072	-0.660237	0.311959	-0.676915	0.092493	
134	0.423886	-0.513203	0.246324	0.704463	0.366681	0.484416	0.732451	-0.307248	-0.652660	0.312143	-0.684142	0.092473	
135	0.426732	-0.517001	0.242862	0.701161	0.360820	0.482237	0.733907	-0.314067	-0.645644	0.313212	-0.690247	0.092742	
136	0.431862	-0.523909	0.236752	0.694955	0.355207	0.480965	0.734991	-0.319826	-0.639582	0.313326	-0.695782	0.093001	
137	0.436727	-0.530540	0.230837	0.688848	0.349825	0.479505	0.736354	-0.324778	-0.633974	0.313501	-0.700867	0.092624	
138	0.439709	-0.534248	0.227379	0.685226	0.343607	0.476881	0.737897	-0.331703	-0.626473	0.314712	-0.707044	0.092606	
139	0.445532	-0.541220	0.220492	0.678207	0.339114	0.475748	0.738726	-0.336080	-0.621632	0.314774	-0.711271	0.092650	
140	0.449525	-0.545752	0.215638	0.673485	0.333013	0.472005	0.740726	-0.342986	-0.613738	0.316917	-0.717236	0.091991	
141	0.452594	-0.548625	0.211859	0.670287	0.328197	0.471084	0.741190	-0.347857	-0.608490	0.316700	-0.721723	0.092500	
142	0.457874	-0.553896	0.205314	0.664378	0.323847	0.466886	0.743186	-0.353292	-0.601993	0.319585	-0.726020	0.091457	
143	0.460454	-0.556416	0.202100	0.661468	0.319000	0.462981	0.744628	-0.359745	-0.594755	0.322160	-0.730855	0.091273	
144	0.464038	-0.559874	0.197350	0.657467	0.314734	0.458803	0.746710	-0.364508	-0.588617	0.324867	-0.734797	0.089806	
145	0.468559	-0.564280	0.191112	0.652317	0.310774	0.454631	0.747708	-0.371029	-0.581582	0.327966	-0.738966	0.090169	
